frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
1,2026-03-20 12:58:42,0.75,0,0.0066,1.2,0.0055,0
2,2026-03-20 12:58:42,2.9,0,0.0076,1.2,0.0063,0
3,2026-03-20 12:58:42,5.41,0,0.1743,1.2,0.1452,1
4,2026-03-20 12:58:43,4.99,0,0.1824,1.2,0.152,1
5,2026-03-20 12:58:43,4.93,0,0.0226,1.2,0.0189,0
6,2026-03-20 12:58:43,4.94,0,0.2789,1.3,0.2173,1
7,2026-03-20 12:58:43,5.09,0,0.2555,1.3,0.1996,1
8,2026-03-20 12:58:43,4.89,0,0.1456,1.2,0.1213,1
9,2026-03-20 12:58:44,5.04,0,0.0194,1.2,0.0161,1
10,2026-03-20 12:58:44,5.06,0,0.0182,1.2,0.0152,1
11,2026-03-20 12:58:44,5.03,0,0.0403,1.2,0.0336,1
12,2026-03-20 12:58:44,4.92,0,0.0542,1.2,0.0451,1
13,2026-03-20 12:58:44,5.09,0,0.06,1.2,0.05,1
14,2026-03-20 12:58:45,4.98,0,0.0692,1.2,0.0576,1
15,2026-03-20 12:58:45,5.17,0,0.0807,1.2,0.0672,1
16,2026-03-20 12:58:45,5.13,0,0.0897,1.2,0.0748,1
17,2026-03-20 12:58:45,5.08,0,0.1085,1.2,0.0904,1
18,2026-03-20 12:58:45,5.09,0,0.0131,1.2,0.0109,1
19,2026-03-20 12:58:45,5.21,0,0.0121,1.2,0.01,0
20,2026-03-20 12:58:46,5.08,0,0.1301,1.2,0.1084,1
21,2026-03-20 12:58:46,5.12,0,0.012,1.2,0.01,0
22,2026-03-20 12:58:46,5.19,0,0.1404,1.2,0.117,1
23,2026-03-20 12:58:46,5.09,0,0.1138,1.2,0.0948,1
24,2026-03-20 12:58:46,4.91,0,0.0974,1.2,0.0812,1
25,2026-03-20 12:58:47,5.0,0,0.0752,1.2,0.0627,1
26,2026-03-20 12:58:47,5.0,0,0.0413,1.2,0.0345,1
27,2026-03-20 12:58:47,4.92,0,0.014,1.2,0.0117,0
28,2026-03-20 12:58:47,5.04,0,0.0142,1.2,0.0118,0
29,2026-03-20 12:58:47,4.8,0,0.0146,1.2,0.0121,0
30,2026-03-20 12:58:48,4.98,0,0.0153,1.2,0.0128,0
31,2026-03-20 12:58:48,4.93,0,0.015,1.2,0.0125,0
32,2026-03-20 12:58:48,4.77,0,0.0156,1.2,0.013,0
33,2026-03-20 12:58:48,4.92,0,0.0127,1.2,0.0106,0
34,2026-03-20 12:58:48,5.0,0,0.0115,1.2,0.0096,0
35,2026-03-20 12:58:49,4.99,0,0.0131,1.2,0.0109,0
36,2026-03-20 12:58:49,4.98,0,0.015,1.2,0.0125,0
37,2026-03-20 12:58:49,4.94,0,0.0166,1.2,0.0139,0
