frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
1,2026-03-20 12:48:02,0.81,0,0.0,0.0,0.0,0
2,2026-03-20 12:48:02,3.04,0,0.0,0.0,0.0,0
3,2026-03-20 12:48:02,5.39,0,0.0,0.0,0.0,0
4,2026-03-20 12:48:02,5.19,0,0.0,0.0,0.0,0
5,2026-03-20 12:48:02,5.27,0,0.0,0.0,0.0,0
6,2026-03-20 12:48:03,5.23,0,0.0,0.0,0.0,0
7,2026-03-20 12:48:03,5.24,0,0.0,0.0,0.0,0
8,2026-03-20 12:48:03,5.32,0,0.0,0.0,0.0,0
9,2026-03-20 12:48:03,5.28,0,0.0,0.0,0.0,0
10,2026-03-20 12:48:03,5.12,0,0.0,0.0,0.0,0
11,2026-03-20 12:48:04,5.13,0,0.0,0.0,0.0,0
12,2026-03-20 12:48:04,5.11,0,0.0,0.0,0.0,0
13,2026-03-20 12:48:04,5.37,0,0.0,0.0,0.0,0
14,2026-03-20 12:48:04,5.1,0,0.0057,2.3861,0.0035,1
15,2026-03-20 12:48:04,5.18,0,0.0064,2.3128,0.0037,0
16,2026-03-20 12:48:05,5.25,0,0.0071,2.4667,0.0037,1
17,2026-03-20 12:48:05,5.29,0,0.0,0.0,0.0,0
18,2026-03-20 12:48:05,5.18,0,0.0,0.0,0.0,0
19,2026-03-20 12:48:05,5.41,0,0.0,0.0,0.0,0
20,2026-03-20 12:48:05,5.32,0,0.0,0.0,0.0,0
21,2026-03-20 12:48:06,5.3,0,0.0,0.0,0.0,0
22,2026-03-20 12:48:06,5.25,0,0.0,0.0,0.0,0
23,2026-03-20 12:48:06,5.32,0,0.0,0.0,0.0,0
24,2026-03-20 12:48:06,5.29,0,0.0,0.0,0.0,0
25,2026-03-20 12:48:06,5.2,0,0.0,0.0,0.0,0
26,2026-03-20 12:48:06,5.33,0,0.0,0.0,0.0,0
27,2026-03-20 12:48:07,4.81,0,0.0008,2.1284,0.0004,0
28,2026-03-20 12:48:07,5.2,0,0.0008,2.1839,0.0004,0
29,2026-03-20 12:48:07,5.05,0,0.0008,2.2,0.0004,0
30,2026-03-20 12:48:07,5.1,0,0.0036,2.2391,0.002,0
31,2026-03-20 12:48:07,5.07,0,0.004,2.3483,0.0021,0
32,2026-03-20 12:48:08,5.31,0,0.0009,2.3371,0.0004,0
33,2026-03-20 12:48:08,5.02,0,0.0,0.0,0.0,0
34,2026-03-20 12:48:08,5.26,0,0.0,0.0,0.0,0
35,2026-03-20 12:48:08,4.95,0,0.0009,2.6165,0.0004,0
36,2026-03-20 12:48:08,5.09,0,0.0,0.0,0.0,0
37,2026-03-20 12:48:09,5.12,0,0.0,0.0,0.0,0
38,2026-03-20 12:48:09,5.03,0,0.0,0.0,0.0,0
39,2026-03-20 12:48:09,5.04,0,0.0081,2.2478,0.0043,1
40,2026-03-20 12:48:09,5.0,0,0.004,2.5489,0.0019,0
41,2026-03-20 12:48:09,5.19,0,0.0153,2.5756,0.0083,1
42,2026-03-20 12:48:10,5.01,0,0.0196,2.6971,0.0104,1
43,2026-03-20 12:48:10,4.85,0,0.0206,2.4946,0.0118,1
44,2026-03-20 12:48:10,4.2,0,0.0086,2.4246,0.0044,0
45,2026-03-20 12:48:10,4.38,0,0.009,2.4751,0.0046,0
46,2026-03-20 12:48:10,4.7,0,0.011,2.7527,0.0053,0
47,2026-03-20 12:48:11,4.44,0,0.0069,2.8869,0.0031,0
48,2026-03-20 12:48:11,4.54,0,0.0094,2.9285,0.004,0
49,2026-03-20 12:48:11,4.38,0,0.0072,3.0615,0.0033,0
50,2026-03-20 12:48:11,4.55,0,0.0179,3.0082,0.0091,1
51,2026-03-20 12:48:12,4.69,0,0.0108,2.8891,0.0053,1
52,2026-03-20 12:48:12,4.73,0,0.0157,2.9712,0.0085,1
53,2026-03-20 12:48:12,4.76,0,0.0235,2.9935,0.0138,1
54,2026-03-20 12:48:12,4.83,0,0.0203,2.9806,0.0121,1
55,2026-03-20 12:48:12,4.83,0,0.0224,2.9016,0.013,1
56,2026-03-20 12:48:13,4.59,0,0.0189,2.9549,0.0113,1
57,2026-03-20 12:48:13,4.56,0,0.0013,2.9995,0.0005,0
58,2026-03-20 12:48:13,4.6,0,0.0092,2.949,0.005,1
59,2026-03-20 12:48:13,4.68,0,0.0112,3.0621,0.0062,1
60,2026-03-20 12:48:14,4.76,0,0.0122,3.0533,0.007,1
61,2026-03-20 12:48:14,4.77,0,0.0145,2.9958,0.0087,1
62,2026-03-20 12:48:14,4.77,0,0.0203,2.7846,0.012,1
63,2026-03-20 12:48:14,4.68,0,0.0279,2.9286,0.0158,1
64,2026-03-20 12:48:14,4.84,0,0.022,2.9069,0.0126,1
65,2026-03-20 12:48:15,4.76,0,0.011,2.8735,0.0063,1
66,2026-03-20 12:48:15,4.74,0,0.0053,2.8759,0.0026,0
67,2026-03-20 12:48:15,3.86,0,0.0128,2.9245,0.0075,1
68,2026-03-20 12:48:15,4.17,0,0.0135,2.965,0.0079,1
69,2026-03-20 12:48:16,4.0,0,0.0156,2.9961,0.0092,1
70,2026-03-20 12:48:16,4.26,0,0.0165,2.9978,0.0103,1
71,2026-03-20 12:48:16,4.35,0,0.0153,2.9766,0.009,1
72,2026-03-20 12:48:16,3.63,0,0.0142,3.1808,0.0086,1
73,2026-03-20 12:48:16,4.44,0,0.0181,3.1123,0.0106,1
74,2026-03-20 12:48:17,4.27,0,0.0165,3.1787,0.0097,1
75,2026-03-20 12:48:17,4.14,0,0.0181,3.1259,0.0111,1
76,2026-03-20 12:48:17,4.35,0,0.0198,3.1148,0.0124,1
77,2026-03-20 12:48:17,3.87,0,0.0224,3.0713,0.0141,1
78,2026-03-20 12:48:18,4.14,0,0.0207,3.1475,0.0133,1
79,2026-03-20 12:48:18,4.19,0,0.0269,3.0274,0.0172,1
80,2026-03-20 12:48:18,4.0,0,0.0301,3.0408,0.0194,1
81,2026-03-20 12:48:18,4.07,0,0.0316,3.0853,0.02,1
82,2026-03-20 12:48:19,4.1,0,0.0354,3.2277,0.0234,1
83,2026-03-20 12:48:19,4.26,0,0.0376,3.2243,0.0249,1
84,2026-03-20 12:48:19,4.18,0,0.037,3.1312,0.0248,1
85,2026-03-20 12:48:19,4.21,0,0.0411,3.2526,0.027,1
86,2026-03-20 12:48:20,4.29,0,0.0412,3.2472,0.0279,1
87,2026-03-20 12:48:20,4.31,0,0.0456,3.1774,0.0307,1
88,2026-03-20 12:48:20,4.19,0,0.0373,3.1861,0.0251,1
89,2026-03-20 12:48:20,4.26,0,0.0396,3.1277,0.0266,1
90,2026-03-20 12:48:21,4.16,0,0.039,3.1587,0.0259,1
91,2026-03-20 12:48:21,4.01,0,0.0364,3.0948,0.025,1
92,2026-03-20 12:48:21,4.24,0,0.0368,3.0137,0.0248,1
93,2026-03-20 12:48:21,4.45,0,0.0389,3.0131,0.0264,1
94,2026-03-20 12:48:22,4.25,0,0.0396,2.9988,0.0279,1
