frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
1,2026-03-20 12:42:39,0.78,0,0.0,0.0,0.0,0
2,2026-03-20 12:42:40,2.97,0,0.0,0.0,0.0,0
3,2026-03-20 12:42:40,5.17,0,0.0094,3.2912,0.0066,1
4,2026-03-20 12:42:40,5.16,0,0.0111,3.2981,0.008,1
5,2026-03-20 12:42:40,5.12,0,0.0,0.0,0.0,0
6,2026-03-20 12:42:41,5.27,0,0.0,0.0,0.0,0
7,2026-03-20 12:42:41,5.05,0,0.0,0.0,0.0,0
8,2026-03-20 12:42:41,5.27,0,0.0,0.0,0.0,0
9,2026-03-20 12:42:41,5.26,0,0.0,0.0,0.0,0
10,2026-03-20 12:42:41,5.24,0,0.0,0.0,0.0,0
11,2026-03-20 12:42:42,5.15,0,0.0,0.0,0.0,0
12,2026-03-20 12:42:42,5.05,0,0.0,0.0,0.0,0
13,2026-03-20 12:42:42,5.16,0,0.0,0.0,0.0,0
14,2026-03-20 12:42:42,4.86,0,0.0,0.0,0.0,0
15,2026-03-20 12:42:42,5.4,0,0.0,0.0,0.0,0
16,2026-03-20 12:42:43,5.18,0,0.0,0.0,0.0,0
17,2026-03-20 12:42:43,4.89,0,0.0137,1.6495,0.0087,1
18,2026-03-20 12:42:43,5.13,0,0.0138,1.7258,0.0087,1
19,2026-03-20 12:42:43,5.26,0,0.0407,2.2166,0.0248,1
20,2026-03-20 12:42:43,5.26,0,0.0259,1.8351,0.0156,0
21,2026-03-20 12:42:44,5.23,0,0.0142,1.6411,0.0091,1
22,2026-03-20 12:42:44,5.23,0,0.0011,3.1414,0.0004,0
23,2026-03-20 12:42:44,5.13,0,0.0013,3.2726,0.0004,0
24,2026-03-20 12:42:44,5.21,0,0.0255,1.9297,0.0159,0
25,2026-03-20 12:42:44,5.17,0,0.0257,2.2324,0.0164,0
26,2026-03-20 12:42:44,5.16,0,0.0,0.0,0.0,0
27,2026-03-20 12:42:45,5.08,0,0.001,2.9398,0.0004,0
28,2026-03-20 12:42:45,5.15,0,0.0012,3.1103,0.0005,0
29,2026-03-20 12:42:45,5.0,0,0.0,0.0,0.0,0
30,2026-03-20 12:42:45,5.14,0,0.0013,3.0625,0.0005,0
31,2026-03-20 12:42:45,5.06,0,0.0013,3.0575,0.0005,0
32,2026-03-20 12:42:46,5.27,0,0.0,0.0,0.0,0
33,2026-03-20 12:42:46,5.0,0,0.0013,3.1724,0.0005,0
34,2026-03-20 12:42:46,5.01,0,0.0,0.0,0.0,0
35,2026-03-20 12:42:46,5.1,0,0.0,0.0,0.0,0
36,2026-03-20 12:42:46,5.07,0,0.0,0.0,0.0,0
37,2026-03-20 12:42:47,5.15,0,0.0,0.0,0.0,0
38,2026-03-20 12:42:47,5.15,0,0.0,0.0,0.0,0
39,2026-03-20 12:42:47,5.03,0,0.0,0.0,0.0,0
40,2026-03-20 12:42:47,5.07,0,0.0,0.0,0.0,0
41,2026-03-20 12:42:47,5.07,0,0.0,0.0,0.0,0
42,2026-03-20 12:42:48,5.18,0,0.0022,3.1761,0.0008,0
43,2026-03-20 12:42:48,5.1,0,0.002,3.2602,0.0007,0
44,2026-03-20 12:42:48,5.05,0,0.0,0.0,0.0,0
45,2026-03-20 12:42:48,5.12,0,0.0,0.0,0.0,0
46,2026-03-20 12:42:48,5.0,0,0.0,0.0,0.0,0
47,2026-03-20 12:42:49,5.12,0,0.0,0.0,0.0,0
48,2026-03-20 12:42:49,5.13,0,0.0,0.0,0.0,0
49,2026-03-20 12:42:49,5.12,0,0.0,0.0,0.0,0
50,2026-03-20 12:42:49,5.13,0,0.0,0.0,0.0,0
51,2026-03-20 12:42:49,5.0,0,0.0,0.0,0.0,0
52,2026-03-20 12:42:50,5.0,0,0.0,0.0,0.0,0
53,2026-03-20 12:42:50,5.12,0,0.0,0.0,0.0,0
54,2026-03-20 12:42:50,5.08,0,0.0,0.0,0.0,0
55,2026-03-20 12:42:50,5.05,0,0.0014,3.1776,0.0005,0
56,2026-03-20 12:42:50,5.13,0,0.0,0.0,0.0,0
57,2026-03-20 12:42:51,5.13,0,0.0,0.0,0.0,0
58,2026-03-20 12:42:51,5.2,0,0.0015,3.2641,0.0006,0
59,2026-03-20 12:42:51,4.81,0,0.0,0.0,0.0,0
60,2026-03-20 12:42:51,5.09,0,0.0,0.0,0.0,0
61,2026-03-20 12:42:51,4.75,0,0.0,0.0,0.0,0
62,2026-03-20 12:42:52,5.02,0,0.0,0.0,0.0,0
63,2026-03-20 12:42:52,5.16,0,0.0,0.0,0.0,0
64,2026-03-20 12:42:52,4.88,0,0.0,0.0,0.0,0
65,2026-03-20 12:42:52,5.12,0,0.0025,3.0706,0.001,0
66,2026-03-20 12:42:52,5.18,0,0.0,0.0,0.0,0
67,2026-03-20 12:42:53,5.05,0,0.0,0.0,0.0,0
68,2026-03-20 12:42:53,5.17,0,0.0,0.0,0.0,0
69,2026-03-20 12:42:53,5.12,0,0.0012,2.9894,0.0005,0
70,2026-03-20 12:42:53,5.13,0,0.0014,3.0385,0.0006,0
71,2026-03-20 12:42:53,5.13,0,0.0013,3.0381,0.0005,0
72,2026-03-20 12:42:54,5.1,0,0.0057,1.9499,0.0034,1
73,2026-03-20 12:42:54,4.9,0,0.0071,3.3543,0.0037,0
74,2026-03-20 12:42:54,5.16,0,0.0,0.0,0.0,0
75,2026-03-20 12:42:54,4.98,0,0.0015,3.103,0.0005,0
76,2026-03-20 12:42:54,5.06,0,0.0016,3.0856,0.0005,0
77,2026-03-20 12:42:55,5.02,0,0.0016,3.042,0.0005,0
78,2026-03-20 12:42:55,5.12,0,0.0,0.0,0.0,0
79,2026-03-20 12:42:55,5.18,0,0.0018,3.2955,0.0006,0
80,2026-03-20 12:42:55,5.13,0,0.0038,3.3733,0.0012,0
81,2026-03-20 12:42:55,5.08,0,0.0039,3.4331,0.0012,0
82,2026-03-20 12:42:56,4.89,0,0.0046,3.3247,0.0014,0
83,2026-03-20 12:42:56,5.05,0,0.0,0.0,0.0,0
84,2026-03-20 12:42:56,4.96,0,0.0,0.0,0.0,0
85,2026-03-20 12:42:56,5.06,0,0.0023,2.9777,0.0008,0
86,2026-03-20 12:42:56,4.93,0,0.0025,3.0802,0.0008,0
87,2026-03-20 12:42:57,4.99,0,0.0018,3.1858,0.0006,0
88,2026-03-20 12:42:57,5.02,0,0.002,3.2929,0.0006,0
89,2026-03-20 12:42:57,4.61,0,0.0034,2.8459,0.0014,0
90,2026-03-20 12:42:57,5.02,0,0.0043,3.1801,0.0015,0
91,2026-03-20 12:42:57,5.03,0,0.0037,3.2228,0.0013,0
92,2026-03-20 12:42:58,5.02,0,0.007,3.1603,0.0025,0
93,2026-03-20 12:42:58,5.03,0,0.0027,2.9861,0.001,0
