frame,timestamp,fps,decision,mean_risk,max_risk,collision_risk,has_close_high_risk
1,2026-03-20 13:07:20,0.81,0,0.0,0.0,0.0,0
2,2026-03-20 13:07:20,3.2,0,0.0,0.0,0.0,0
3,2026-03-20 13:07:20,5.5,0,0.0079,1.3,0.0066,1
4,2026-03-20 13:07:20,5.36,0,0.0096,1.3,0.008,1
5,2026-03-20 13:07:20,5.45,0,0.0,0.0,0.0,0
6,2026-03-20 13:07:21,5.44,0,0.0,0.0,0.0,0
7,2026-03-20 13:07:21,5.52,0,0.0,0.0,0.0,0
8,2026-03-20 13:07:21,5.36,0,0.0,0.0,0.0,0
9,2026-03-20 13:07:21,5.47,0,0.0,0.0,0.0,0
10,2026-03-20 13:07:21,5.43,0,0.0,0.0,0.0,0
11,2026-03-20 13:07:22,5.57,0,0.0,0.0,0.0,0
12,2026-03-20 13:07:22,5.32,0,0.0,0.0,0.0,0
13,2026-03-20 13:07:22,5.5,0,0.0,0.0,0.0,0
14,2026-03-20 13:07:22,5.37,0,0.0,0.0,0.0,0
15,2026-03-20 13:07:22,5.44,0,0.0,0.0,0.0,0
16,2026-03-20 13:07:22,5.22,0,0.0,0.0,0.0,0
17,2026-03-20 13:07:23,5.4,0,0.0105,1.2,0.0087,1
18,2026-03-20 13:07:23,5.3,0,0.0105,1.2,0.0087,1
19,2026-03-20 13:07:23,5.41,0,0.0266,1.2,0.0248,1
20,2026-03-20 13:07:23,5.35,0,0.0156,1.0,0.0156,0
21,2026-03-20 13:07:23,5.29,0,0.011,1.2,0.0091,1
22,2026-03-20 13:07:24,5.38,0,0.0005,1.3,0.0004,0
23,2026-03-20 13:07:24,5.34,0,0.0006,1.3,0.0004,0
24,2026-03-20 13:07:24,5.64,0,0.0159,1.0,0.0159,0
25,2026-03-20 13:07:24,5.15,0,0.0164,1.0,0.0164,0
26,2026-03-20 13:07:24,5.58,0,0.0,0.0,0.0,0
27,2026-03-20 13:07:25,5.35,0,0.0005,1.3,0.0004,0
28,2026-03-20 13:07:25,5.46,0,0.0006,1.3,0.0005,0
29,2026-03-20 13:07:25,5.28,0,0.0,0.0,0.0,0
30,2026-03-20 13:07:25,5.39,0,0.0006,1.3,0.0005,0
31,2026-03-20 13:07:25,5.37,0,0.0006,1.3,0.0005,0
32,2026-03-20 13:07:25,5.43,0,0.0,0.0,0.0,0
33,2026-03-20 13:07:26,5.28,0,0.0006,1.3,0.0005,0
34,2026-03-20 13:07:26,5.19,0,0.0,0.0,0.0,0
35,2026-03-20 13:07:26,5.14,0,0.0,0.0,0.0,0
36,2026-03-20 13:07:26,5.3,0,0.0,0.0,0.0,0
37,2026-03-20 13:07:26,5.26,0,0.0,0.0,0.0,0
38,2026-03-20 13:07:27,5.25,0,0.0,0.0,0.0,0
39,2026-03-20 13:07:27,5.32,0,0.0,0.0,0.0,0
40,2026-03-20 13:07:27,5.19,0,0.0,0.0,0.0,0
41,2026-03-20 13:07:27,5.32,0,0.0,0.0,0.0,0
42,2026-03-20 13:07:27,5.27,0,0.001,1.3,0.0008,0
43,2026-03-20 13:07:28,5.16,0,0.0009,1.3,0.0007,0
44,2026-03-20 13:07:28,5.23,0,0.0,0.0,0.0,0
45,2026-03-20 13:07:28,5.22,0,0.0,0.0,0.0,0
46,2026-03-20 13:07:28,5.15,0,0.0,0.0,0.0,0
47,2026-03-20 13:07:28,5.15,0,0.0,0.0,0.0,0
48,2026-03-20 13:07:29,5.12,0,0.0,0.0,0.0,0
49,2026-03-20 13:07:29,5.08,0,0.0,0.0,0.0,0
50,2026-03-20 13:07:29,5.21,0,0.0,0.0,0.0,0
51,2026-03-20 13:07:29,5.17,0,0.0,0.0,0.0,0
52,2026-03-20 13:07:29,5.22,0,0.0,0.0,0.0,0
53,2026-03-20 13:07:30,4.52,0,0.0,0.0,0.0,0
54,2026-03-20 13:07:30,5.29,0,0.0,0.0,0.0,0
55,2026-03-20 13:07:30,5.19,0,0.0007,1.3,0.0005,0
56,2026-03-20 13:07:30,5.36,0,0.0,0.0,0.0,0
57,2026-03-20 13:07:30,5.42,0,0.0,0.0,0.0,0
58,2026-03-20 13:07:30,5.36,0,0.0007,1.3,0.0006,0
59,2026-03-20 13:07:31,5.24,0,0.0,0.0,0.0,0
60,2026-03-20 13:07:31,5.32,0,0.0,0.0,0.0,0
61,2026-03-20 13:07:31,5.45,0,0.0,0.0,0.0,0
62,2026-03-20 13:07:31,5.33,0,0.0,0.0,0.0,0
63,2026-03-20 13:07:31,5.41,0,0.0,0.0,0.0,0
64,2026-03-20 13:07:32,5.23,0,0.0,0.0,0.0,0
65,2026-03-20 13:07:32,5.33,0,0.0014,1.3,0.001,0
66,2026-03-20 13:07:32,5.36,0,0.0,0.0,0.0,0
67,2026-03-20 13:07:32,5.41,0,0.0,0.0,0.0,0
68,2026-03-20 13:07:32,5.13,0,0.0,0.0,0.0,0
69,2026-03-20 13:07:33,5.27,0,0.0006,1.3,0.0005,0
70,2026-03-20 13:07:33,5.27,0,0.0007,1.3,0.0006,0
71,2026-03-20 13:07:33,5.26,0,0.0006,1.3,0.0005,0
72,2026-03-20 13:07:33,5.18,0,0.0041,1.2,0.0034,1
73,2026-03-20 13:07:33,5.35,0,0.0045,1.3,0.0037,0
74,2026-03-20 13:07:33,5.27,0,0.0,0.0,0.0,0
75,2026-03-20 13:07:34,5.13,0,0.0006,1.3,0.0005,0
76,2026-03-20 13:07:34,5.25,0,0.0007,1.3,0.0005,0
77,2026-03-20 13:07:34,5.33,0,0.0007,1.3,0.0005,0
78,2026-03-20 13:07:34,5.31,0,0.0,0.0,0.0,0
79,2026-03-20 13:07:34,5.26,0,0.0008,1.3,0.0006,0
80,2026-03-20 13:07:35,5.45,0,0.0015,1.3,0.0012,0
81,2026-03-20 13:07:35,5.12,0,0.0015,1.3,0.0012,0
82,2026-03-20 13:07:35,5.4,0,0.0019,1.3,0.0014,0
83,2026-03-20 13:07:35,5.26,0,0.0,0.0,0.0,0
84,2026-03-20 13:07:35,5.14,0,0.0,0.0,0.0,0
85,2026-03-20 13:07:36,5.24,0,0.001,1.3,0.0008,0
86,2026-03-20 13:07:36,5.15,0,0.0011,1.3,0.0008,0
87,2026-03-20 13:07:36,5.29,0,0.0008,1.3,0.0006,0
88,2026-03-20 13:07:36,5.06,0,0.0008,1.3,0.0006,0
89,2026-03-20 13:07:36,5.29,0,0.0018,1.3,0.0014,0
90,2026-03-20 13:07:37,5.29,0,0.0019,1.3,0.0015,0
91,2026-03-20 13:07:37,5.2,0,0.0017,1.3,0.0013,0
92,2026-03-20 13:07:37,5.33,0,0.0032,1.3,0.0025,0
93,2026-03-20 13:07:37,5.18,0,0.0013,1.3,0.001,0
94,2026-03-20 13:07:37,5.34,0,0.0019,1.3,0.0015,0
95,2026-03-20 13:07:37,5.13,0,0.0007,1.3,0.0006,0
96,2026-03-20 13:07:38,5.21,0,0.0013,1.3,0.001,0
97,2026-03-20 13:07:38,5.23,0,0.0034,1.3,0.0026,0
98,2026-03-20 13:07:38,5.21,0,0.0017,1.3,0.0013,0
99,2026-03-20 13:07:38,5.08,0,0.0017,1.3,0.0013,0
100,2026-03-20 13:07:38,5.39,0,0.0017,1.3,0.0013,0
101,2026-03-20 13:07:39,5.04,0,0.0032,1.3,0.0025,0
102,2026-03-20 13:07:39,5.15,0,0.0026,1.3,0.002,0
103,2026-03-20 13:07:39,5.24,0,0.0023,1.3,0.0018,0
104,2026-03-20 13:07:39,5.13,0,0.0025,1.3,0.0019,0
105,2026-03-20 13:07:39,5.28,0,0.0024,1.3,0.0019,0
106,2026-03-20 13:07:40,4.89,0,0.0014,1.3,0.0011,0
107,2026-03-20 13:07:40,5.0,0,0.002,1.3,0.0016,0
108,2026-03-20 13:07:40,5.11,0,0.002,1.3,0.0015,0
109,2026-03-20 13:07:40,5.14,0,0.0019,1.3,0.0015,0
110,2026-03-20 13:07:40,5.02,0,0.0006,1.3,0.0005,0
111,2026-03-20 13:07:41,5.11,0,0.0007,1.3,0.0005,0
112,2026-03-20 13:07:41,5.12,0,0.0006,1.3,0.0004,0
113,2026-03-20 13:07:41,5.13,0,0.0008,1.3,0.0006,0
114,2026-03-20 13:07:41,5.02,0,0.0021,1.3,0.0016,0
115,2026-03-20 13:07:41,5.24,0,0.0008,1.3,0.0006,0
116,2026-03-20 13:07:42,5.21,0,0.0016,1.3,0.0012,0
117,2026-03-20 13:07:42,5.03,0,0.0021,1.3,0.0016,0
118,2026-03-20 13:07:42,5.24,0,0.0009,1.3,0.0007,0
119,2026-03-20 13:07:42,5.02,0,0.0017,1.3,0.0013,0
120,2026-03-20 13:07:42,5.22,0,0.0007,1.3,0.0006,0
121,2026-03-20 13:07:43,5.25,0,0.0009,1.3,0.0007,0
122,2026-03-20 13:07:43,5.0,0,0.0009,1.3,0.0007,0
123,2026-03-20 13:07:43,5.11,0,0.0009,1.3,0.0007,0
124,2026-03-20 13:07:43,5.24,0,0.0015,1.3,0.0012,0
125,2026-03-20 13:07:43,5.0,0,0.0022,1.3,0.0017,0
126,2026-03-20 13:07:44,5.14,0,0.0012,1.3,0.0009,0
127,2026-03-20 13:07:44,5.13,0,0.004,1.3,0.0031,0
128,2026-03-20 13:07:44,5.16,0,0.004,1.3,0.0031,0
129,2026-03-20 13:07:44,4.96,0,0.0022,1.3,0.0017,0
130,2026-03-20 13:07:44,4.99,0,0.0023,1.3,0.0018,0
131,2026-03-20 13:07:45,5.14,0,0.0054,1.3,0.0041,0
132,2026-03-20 13:07:45,5.06,0,0.0053,1.3,0.0041,0
133,2026-03-20 13:07:45,5.2,0,0.0054,1.3,0.0042,0
134,2026-03-20 13:07:45,5.0,0,0.0025,1.3,0.0019,0
135,2026-03-20 13:07:45,5.26,0,0.0017,1.3,0.0013,0
136,2026-03-20 13:07:45,5.03,0,0.0022,1.3,0.0017,0
137,2026-03-20 13:07:46,4.96,0,0.0022,1.3,0.0017,0
138,2026-03-20 13:07:46,5.01,0,0.0023,1.3,0.0018,0
139,2026-03-20 13:07:46,5.06,0,0.0009,1.3,0.0007,0
140,2026-03-20 13:07:46,5.06,0,0.0018,1.3,0.0014,0
141,2026-03-20 13:07:46,5.13,0,0.0016,1.3,0.0012,0
142,2026-03-20 13:07:47,5.15,0,0.0023,1.3,0.0018,0
143,2026-03-20 13:07:47,5.13,0,0.0023,1.3,0.0018,0
144,2026-03-20 13:07:47,5.12,0,0.0022,1.3,0.0017,0
145,2026-03-20 13:07:47,5.12,0,0.0023,1.3,0.0018,0
146,2026-03-20 13:07:47,5.15,0,0.0024,1.3,0.0019,0
